"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2018","12,246.73","12,381.36","12,394.16","12,190.57","114.06M","-1.52%"
"Sep 27, 2018","12,435.59","12,329.40","12,456.69","12,272.65","92.63M","0.40%"
"Sep 26, 2018","12,385.89","12,395.20","12,395.92","12,329.52","77.28M","0.09%"
"Sep 25, 2018","12,374.66","12,341.85","12,416.87","12,322.19","85.78M","0.19%"
"Sep 24, 2018","12,350.82","12,383.42","12,409.96","12,349.30","74.82M","-0.64%"
"Sep 21, 2018","12,430.88","12,402.72","12,458.30","12,373.95","412.54M","0.85%"
"Sep 20, 2018","12,326.48","12,210.95","12,354.38","12,210.57","113.54M","0.88%"
"Sep 19, 2018","12,219.02","12,168.20","12,241.14","12,165.08","101.59M","0.50%"
"Sep 18, 2018","12,157.67","12,097.19","12,184.41","12,064.41","86.75M","0.51%"
"Sep 17, 2018","12,096.41","12,056.38","12,123.09","12,040.80","71.41M","-0.23%"
"Sep 14, 2018","12,124.33","12,109.37","12,134.54","12,075.58","80.15M","0.57%"
"Sep 13, 2018","12,055.55","12,036.79","12,129.81","12,017.41","100.10M","0.19%"
"Sep 12, 2018","12,032.30","11,989.27","12,046.66","11,952.49","115.76M","0.52%"
"Sep 11, 2018","11,970.27","12,013.01","12,017.73","11,865.47","95.92M","-0.13%"
"Sep 10, 2018","11,986.34","11,950.55","12,039.22","11,930.30","82.98M","0.22%"
"Sep 07, 2018","11,959.63","11,960.10","11,990.81","11,888.57","104.94M","0.04%"
"Sep 06, 2018","11,955.25","11,995.81","12,091.98","11,944.50","90.15M","-0.71%"
"Sep 05, 2018","12,040.46","12,161.65","12,167.36","12,035.76","112.88M","-1.39%"
"Sep 04, 2018","12,210.21","12,389.46","12,402.87","12,162.71","87.09M","-1.10%"
"Sep 03, 2018","12,346.41","12,338.36","12,358.17","12,300.47","52.34M","-0.14%"
"Aug 31, 2018","12,364.06","12,418.26","12,426.86","12,348.91","93.07M","-1.04%"
"Aug 30, 2018","12,494.24","12,516.55","12,529.30","12,400.12","75.97M","-0.54%"
"Aug 29, 2018","12,561.68","12,553.86","12,569.06","12,499.53","59.99M","0.27%"
"Aug 28, 2018","12,527.42","12,578.65","12,597.02","12,527.42","75.15M","-0.09%"
"Aug 27, 2018","12,538.31","12,462.75","12,562.37","12,429.34","53.82M","1.16%"
"Aug 24, 2018","12,394.52","12,396.69","12,444.35","12,344.45","60.88M","0.23%"
"Aug 23, 2018","12,365.58","12,367.48","12,411.01","12,353.55","65.64M","-0.16%"
"Aug 22, 2018","12,385.70","12,355.53","12,438.66","12,345.32","79.58M","0.01%"
"Aug 21, 2018","12,384.49","12,320.56","12,432.66","12,316.35","70.72M","0.43%"
"Aug 20, 2018","12,331.30","12,263.01","12,373.36","12,245.56","61.52M","0.99%"
"Aug 17, 2018","12,210.55","12,242.06","12,244.67","12,135.64","88.70M","-0.22%"
"Aug 16, 2018","12,237.17","12,202.13","12,251.40","12,168.92","83.99M","0.61%"
"Aug 15, 2018","12,163.01","12,400.27","12,428.56","12,120.65","102.79M","-1.58%"
"Aug 14, 2018","12,358.87","12,444.63","12,461.82","12,294.90","84.56M","0.00%"
"Aug 13, 2018","12,358.74","12,346.75","12,396.86","12,323.20","95.64M","-0.53%"
"Aug 10, 2018","12,424.35","12,574.20","12,585.83","12,390.40","124.41M","-1.99%"
"Aug 09, 2018","12,676.11","12,623.14","12,696.52","12,577.34","73.92M","0.34%"
"Aug 08, 2018","12,633.54","12,622.98","12,704.58","12,586.23","92.14M","-0.12%"
"Aug 07, 2018","12,648.19","12,656.87","12,738.53","12,646.16","89.81M","0.40%"
"Aug 06, 2018","12,598.21","12,631.40","12,715.78","12,538.35","67.63M","-0.14%"
"Aug 03, 2018","12,615.76","12,572.61","12,644.52","12,561.62","81.80M","0.55%"
"Aug 02, 2018","12,546.33","12,617.63","12,619.60","12,493.20","106.47M","-1.50%"
"Aug 01, 2018","12,737.05","12,826.70","12,833.11","12,706.34","96.40M","-0.53%"
"Jul 31, 2018","12,805.50","12,809.74","12,860.59","12,739.83","109.80M","0.06%"
"Jul 30, 2018","12,798.20","12,822.87","12,848.95","12,798.20","72.91M","-0.48%"
"Jul 27, 2018","12,860.40","12,825.75","12,886.83","12,815.12","98.59M","0.40%"
"Jul 26, 2018","12,809.23","12,732.88","12,827.71","12,701.56","109.21M","1.83%"
"Jul 25, 2018","12,579.33","12,685.68","12,695.12","12,538.12","83.32M","-0.87%"
"Jul 24, 2018","12,689.39","12,590.79","12,755.27","12,585.91","92.85M","1.12%"
"Jul 23, 2018","12,548.57","12,510.23","12,565.12","12,489.33","67.22M","-0.10%"
"Jul 20, 2018","12,561.42","12,664.45","12,706.84","12,469.50","109.78M","-0.98%"
"Jul 19, 2018","12,686.29","12,740.68","12,759.42","12,658.37","77.83M","-0.62%"
"Jul 18, 2018","12,765.94","12,728.41","12,778.96","12,715.52","90.35M","0.82%"
"Jul 17, 2018","12,661.54","12,566.97","12,688.50","12,522.05","94.82M","0.80%"
"Jul 16, 2018","12,561.02","12,530.98","12,604.24","12,506.99","100.11M","0.16%"
"Jul 13, 2018","12,540.73","12,549.23","12,583.79","12,499.30","82.98M","0.38%"
"Jul 12, 2018","12,492.97","12,464.06","12,505.20","12,408.63","74.55M","0.61%"
"Jul 11, 2018","12,417.13","12,506.99","12,514.75","12,398.47","86.96M","-1.53%"
"Jul 10, 2018","12,609.85","12,580.31","12,639.79","12,530.71","84.39M","0.53%"
"Jul 09, 2018","12,543.89","12,541.74","12,559.97","12,490.40","77.04M","0.38%"
"Jul 06, 2018","12,496.17","12,506.27","12,508.08","12,426.40","123.08M","0.26%"
"Jul 05, 2018","12,464.29","12,363.05","12,516.51","12,361.86","118.00M","1.19%"
"Jul 04, 2018","12,317.61","12,323.75","12,350.68","12,284.56","80.84M","-0.26%"
"Jul 03, 2018","12,349.14","12,321.07","12,428.14","12,278.39","96.42M","0.91%"
"Jul 02, 2018","12,238.17","12,147.94","12,301.93","12,132.72","96.33M","-0.55%"
"Jun 29, 2018","12,306.00","12,322.64","12,382.87","12,260.91","117.57M","1.06%"
"Jun 28, 2018","12,177.23","12,289.81","12,375.37","12,104.41","110.52M","-1.39%"
"Jun 27, 2018","12,348.61","12,247.75","12,439.91","12,124.87","131.84M","0.93%"
"Jun 26, 2018","12,234.34","12,333.44","12,355.86","12,188.50","64.39M","-0.29%"
"Jun 25, 2018","12,270.33","12,497.48","12,518.89","12,270.33","101.62M","-2.46%"
"Jun 22, 2018","12,579.72","12,507.72","12,579.72","12,486.26","86.32M","0.54%"
"Jun 21, 2018","12,511.91","12,699.71","12,719.45","12,472.98","114.59M","-1.44%"
"Jun 20, 2018","12,695.16","12,731.66","12,760.20","12,670.78","92.39M","0.14%"
"Jun 19, 2018","12,677.97","12,647.07","12,708.71","12,594.51","105.67M","-1.22%"
"Jun 18, 2018","12,834.11","12,945.53","12,982.92","12,784.48","91.86M","-1.36%"
"Jun 15, 2018","13,010.55","13,115.85","13,170.05","13,010.54","265.64M","-0.74%"
"Jun 14, 2018","13,107.10","12,806.07","13,135.97","12,800.66","140.30M","1.68%"
"Jun 13, 2018","12,890.58","12,857.16","12,905.67","12,781.23","108.97M","0.38%"
"Jun 12, 2018","12,842.30","12,924.03","12,948.52","12,816.07","103.76M","-0.00%"
"Jun 11, 2018","12,842.91","12,816.32","12,861.95","12,751.66","112.08M","0.60%"
"Jun 08, 2018","12,766.55","12,668.77","12,795.64","12,610.68","118.58M","-0.35%"
"Jun 07, 2018","12,811.05","12,877.85","12,914.85","12,760.54","96.98M","-0.15%"
"Jun 06, 2018","12,830.07","12,813.39","12,872.90","12,729.23","110.29M","0.34%"
"Jun 05, 2018","12,787.13","12,766.16","12,925.24","12,753.30","111.24M","0.13%"
"Jun 04, 2018","12,770.75","12,839.44","12,846.26","12,714.03","87.13M","0.37%"
"Jun 01, 2018","12,724.27","12,678.07","12,800.45","12,660.79","127.23M","0.95%"
"May 31, 2018","12,604.89","12,796.16","12,803.60","12,547.61","190.01M","-1.40%"
"May 30, 2018","12,783.76","12,693.33","12,783.76","12,663.37","126.40M","0.93%"
"May 29, 2018","12,666.51","12,786.15","12,803.29","12,608.70","158.73M","-1.53%"
"May 28, 2018","12,863.46","13,016.55","13,040.63","12,828.26","71.93M","-0.58%"
"May 25, 2018","12,938.01","12,917.15","13,002.47","12,852.17","107.26M","0.65%"
"May 24, 2018","12,855.09","12,955.94","13,006.44","12,801.82","148.21M","-0.94%"
"May 23, 2018","12,976.84","13,138.83","13,148.05","12,929.90","108.70M","-1.47%"
"May 22, 2018","13,169.92","13,132.56","13,204.31","13,061.77","112.49M","0.71%"
"May 18, 2018","13,077.72","13,115.63","13,133.19","13,051.13","128.11M","-0.28%"
"May 17, 2018","13,114.61","12,985.14","13,114.63","12,981.89","94.86M","0.91%"
"May 16, 2018","12,996.33","12,983.49","13,030.76","12,960.53","107.39M","0.20%"
"May 15, 2018","12,970.04","12,947.97","13,006.34","12,918.29","109.89M","-0.06%"
"May 14, 2018","12,977.71","13,009.83","13,015.10","12,927.24","79.56M","-0.18%"
"May 11, 2018","13,001.24","13,023.00","13,033.30","12,964.00","86.26M","-0.17%"
"May 10, 2018","13,022.87","12,975.09","13,034.21","12,928.51","74.39M","0.62%"
"May 09, 2018","12,943.06","12,917.82","12,962.52","12,890.38","105.85M","0.24%"
"May 08, 2018","12,912.21","12,924.23","12,933.67","12,855.09","98.54M","-0.28%"
"May 07, 2018","12,948.14","12,827.43","12,961.05","12,813.55","66.80M","1.00%"
"May 04, 2018","12,819.60","12,733.19","12,819.60","12,707.86","102.13M","1.02%"
"May 03, 2018","12,690.15","12,775.66","12,798.16","12,665.33","101.87M","-0.88%"
"May 02, 2018","12,802.25","12,610.78","12,827.54","12,605.38","114.34M","1.51%"
"Apr 30, 2018","12,612.11","12,606.27","12,622.93","12,563.74","99.51M","0.25%"
"Apr 27, 2018","12,580.87","12,572.72","12,627.71","12,518.03","110.47M","0.64%"
"Apr 26, 2018","12,500.47","12,395.90","12,503.22","12,383.95","123.56M","0.63%"
"Apr 25, 2018","12,422.30","12,456.82","12,484.78","12,312.27","111.94M","-1.02%"
"Apr 24, 2018","12,550.82","12,602.41","12,647.16","12,481.30","109.35M","-0.17%"
"Apr 23, 2018","12,572.39","12,538.16","12,588.23","12,466.47","80.57M","0.25%"
"Apr 20, 2018","12,540.50","12,555.96","12,585.37","12,490.77","115.13M","-0.21%"
"Apr 19, 2018","12,567.42","12,595.61","12,595.61","12,534.63","72.85M","-0.19%"
"Apr 18, 2018","12,590.83","12,597.58","12,640.25","12,548.45","85.60M","0.04%"
"Apr 17, 2018","12,585.57","12,443.20","12,614.25","12,417.26","87.99M","1.57%"
"Apr 16, 2018","12,391.41","12,478.99","12,487.04","12,375.63","64.60M","-0.41%"
"Apr 13, 2018","12,442.40","12,461.31","12,523.97","12,411.65","79.07M","0.22%"
"Apr 12, 2018","12,415.01","12,282.39","12,434.24","12,263.70","84.59M","0.98%"
"Apr 11, 2018","12,293.97","12,372.07","12,381.53","12,256.59","101.87M","-0.83%"
"Apr 10, 2018","12,397.32","12,389.90","12,428.90","12,334.95","102.43M","1.11%"
"Apr 09, 2018","12,261.75","12,311.02","12,371.11","12,205.39","79.68M","0.17%"
"Apr 06, 2018","12,241.27","12,242.94","12,290.03","12,202.05","89.70M","-0.52%"
"Apr 05, 2018","12,305.19","12,153.61","12,322.37","12,135.64","112.47M","2.90%"
"Apr 04, 2018","11,957.90","12,000.47","12,011.12","11,792.35","110.62M","-0.37%"
"Apr 03, 2018","12,002.45","11,997.47","12,069.48","11,913.62","98.17M","-0.78%"
"Mar 29, 2018","12,096.73","11,956.34","12,151.31","11,942.28","115.04M","1.31%"
"Mar 28, 2018","11,940.71","11,868.08","11,961.16","11,770.40","116.90M","-0.25%"
"Mar 27, 2018","11,970.83","11,996.35","12,042.78","11,927.91","101.73M","1.56%"
"Mar 26, 2018","11,787.26","11,919.64","11,984.50","11,726.62","102.95M","-0.83%"
"Mar 23, 2018","11,886.31","11,995.51","12,001.78","11,818.70","150.12M","-1.77%"
"Mar 22, 2018","12,100.08","12,187.73","12,267.17","12,009.50","142.71M","-1.70%"
"Mar 21, 2018","12,309.15","12,336.76","12,344.09","12,250.37","112.29M","0.01%"
"Mar 20, 2018","12,307.33","12,261.19","12,320.00","12,191.55","75.16M","0.74%"
"Mar 19, 2018","12,217.02","12,346.51","12,369.77","12,183.79","100.32M","-1.39%"
"Mar 16, 2018","12,389.58","12,345.56","12,454.02","12,337.62","219.42M","0.36%"
"Mar 15, 2018","12,345.56","12,284.14","12,378.39","12,239.96","109.96M","0.88%"
"Mar 14, 2018","12,237.74","12,212.49","12,322.89","12,202.76","107.43M","0.14%"
"Mar 13, 2018","12,221.03","12,425.69","12,459.90","12,162.47","135.97M","-1.59%"
"Mar 12, 2018","12,418.39","12,453.30","12,454.96","12,361.01","141.03M","0.58%"
"Mar 09, 2018","12,346.68","12,331.64","12,407.98","12,284.57","99.08M","-0.07%"
"Mar 08, 2018","12,355.57","12,237.94","12,382.69","12,177.12","100.78M","0.90%"
"Mar 07, 2018","12,245.36","12,060.09","12,275.69","12,020.61","95.79M","1.09%"
"Mar 06, 2018","12,113.87","12,229.29","12,259.58","12,110.34","107.75M","0.19%"
"Mar 05, 2018","12,090.87","11,831.57","12,110.18","11,830.98","113.32M","1.49%"
"Mar 02, 2018","11,913.71","12,051.89","12,081.40","11,877.66","124.21M","-2.27%"
"Mar 01, 2018","12,190.94","12,386.40","12,387.88","12,143.14","117.20M","-1.97%"
"Feb 28, 2018","12,435.85","12,427.46","12,516.92","12,417.96","96.28M","-0.44%"
"Feb 27, 2018","12,490.73","12,573.65","12,577.56","12,436.13","92.64M","-0.29%"
"Feb 26, 2018","12,527.04","12,566.05","12,601.46","12,484.59","80.73M","0.35%"
"Feb 23, 2018","12,483.79","12,491.77","12,513.32","12,431.94","100.96M","0.18%"
"Feb 22, 2018","12,461.91","12,358.82","12,497.71","12,283.70","107.40M","-0.07%"
"Feb 21, 2018","12,470.49","12,457.22","12,474.37","12,372.26","85.96M","-0.14%"
"Feb 20, 2018","12,487.90","12,403.63","12,496.10","12,333.79","89.82M","0.83%"
"Feb 19, 2018","12,385.60","12,495.07","12,505.49","12,361.86","68.99M","-0.53%"
"Feb 16, 2018","12,451.96","12,408.48","12,484.12","12,368.71","107.45M","0.86%"
