"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2018","2,475.36","2,467.95","2,476.86","2,446.53","-","0.03%"
"Sep 27, 2018","2,474.57","2,423.75","2,474.57","2,423.14","-","1.95%"
"Sep 26, 2018","2,427.29","2,445.35","2,449.42","2,421.45","-","-0.69%"
"Sep 25, 2018","2,444.22","2,432.76","2,444.65","2,420.30","-","0.58%"
"Sep 24, 2018","2,430.01","2,426.41","2,432.64","2,417.45","-","0.13%"
"Sep 21, 2018","2,426.80","2,401.35","2,426.80","2,401.00","-","1.08%"
"Sep 20, 2018","2,400.89","2,405.36","2,434.94","2,400.89","-","-0.15%"
"Sep 19, 2018","2,404.42","2,405.31","2,416.53","2,396.18","-","0.08%"
"Sep 18, 2018","2,402.58","2,374.09","2,402.58","2,372.00","-","1.21%"
"Sep 17, 2018","2,373.75","2,362.24","2,373.76","2,350.09","-","0.57%"
"Sep 14, 2018","2,360.26","2,359.06","2,369.06","2,345.51","-","0.12%"
"Sep 13, 2018","2,357.32","2,339.40","2,373.61","2,339.40","-","0.71%"
"Sep 12, 2018","2,340.63","2,339.77","2,350.00","2,328.28","-","0.23%"
"Sep 11, 2018","2,335.19","2,336.16","2,345.65","2,314.80","-","-0.03%"
"Sep 10, 2018","2,335.85","2,322.67","2,335.85","2,320.04","-","0.60%"
"Sep 07, 2018","2,321.82","2,321.66","2,330.84","2,305.27","-","0.05%"
"Sep 06, 2018","2,320.65","2,320.08","2,342.02","2,320.08","-","-0.03%"
"Sep 05, 2018","2,321.33","2,333.04","2,341.37","2,321.33","-","-0.64%"
"Sep 04, 2018","2,336.38","2,348.65","2,358.88","2,332.34","-","-0.41%"
"Sep 03, 2018","2,346.08","2,344.30","2,353.09","2,339.39","-","0.01%"
"Aug 31, 2018","2,345.85","2,328.52","2,345.85","2,310.78","-","0.64%"
"Aug 30, 2018","2,330.92","2,352.06","2,359.58","2,325.80","-","-0.75%"
"Aug 29, 2018","2,348.44","2,316.73","2,348.44","2,316.66","-","1.39%"
"Aug 28, 2018","2,316.28","2,313.85","2,323.45","2,310.99","-","0.14%"
"Aug 27, 2018","2,312.93","2,281.87","2,312.93","2,281.87","-","1.45%"
"Aug 24, 2018","2,279.76","2,258.94","2,281.74","2,240.71","-","0.87%"
"Aug 23, 2018","2,260.04","2,293.98","2,303.47","2,258.11","-","-1.61%"
"Aug 22, 2018","2,297.06","2,296.17","2,306.10","2,278.23","-","0.23%"
"Aug 21, 2018","2,291.76","2,274.36","2,291.76","2,259.81","-","0.85%"
"Aug 20, 2018","2,272.49","2,266.06","2,279.52","2,265.19","-","0.77%"
"Aug 17, 2018","2,255.12","2,261.69","2,268.89","2,247.45","-","-0.26%"
"Aug 16, 2018","2,261.09","2,269.02","2,273.44","2,249.77","-","-0.27%"
"Aug 15, 2018","2,267.13","2,281.40","2,282.34","2,246.45","-","-0.69%"
"Aug 14, 2018","2,282.88","2,298.73","2,305.88","2,268.92","-","-0.12%"
