"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2018","2,821.35","2,794.26","2,821.76","2,791.84","13.43B","1.06%"
"Sep 27, 2018","2,791.77","2,805.79","2,810.51","2,786.32","12.40B","-0.54%"
"Sep 26, 2018","2,806.81","2,785.32","2,827.34","2,783.34","13.96B","0.92%"
"Sep 25, 2018","2,781.14","2,775.07","2,790.03","2,771.16","11.20B","-0.58%"
"Sep 21, 2018","2,797.48","2,733.87","2,797.49","2,722.03","15.80B","2.50%"
"Sep 20, 2018","2,729.24","2,732.17","2,743.96","2,724.08","11.14B","-0.06%"
"Sep 19, 2018","2,730.85","2,694.80","2,746.08","2,690.99","14.15B","1.14%"
"Sep 18, 2018","2,699.95","2,644.30","2,700.19","2,644.30","11.58B","1.82%"
"Sep 17, 2018","2,651.79","2,671.29","2,671.29","2,647.92","8.82B","-1.11%"
"Sep 14, 2018","2,681.64","2,688.78","2,694.92","2,675.29","10.00B","-0.18%"
"Sep 13, 2018","2,686.58","2,679.21","2,689.06","2,653.19","10.73B","1.15%"
"Sep 12, 2018","2,656.11","2,659.74","2,672.07","2,647.17","9.00B","-0.33%"
"Sep 11, 2018","2,664.80","2,668.49","2,680.57","2,652.70","9.99B","-0.18%"
"Sep 10, 2018","2,669.48","2,698.01","2,703.43","2,667.32","10.36B","-1.21%"
"Sep 07, 2018","2,702.30","2,696.68","2,728.55","2,683.72","10.75B","0.40%"
"Sep 06, 2018","2,691.59","2,697.58","2,719.41","2,683.74","9.90B","-0.47%"
"Sep 05, 2018","2,704.34","2,741.38","2,745.47","2,704.34","10.50B","-1.68%"
"Sep 04, 2018","2,750.58","2,720.65","2,756.61","2,712.38","10.90B","1.10%"
"Sep 03, 2018","2,720.73","2,716.40","2,722.85","2,692.36","10.22B","-0.17%"
"Aug 31, 2018","2,725.25","2,730.11","2,744.63","2,710.54","10.98B","-0.46%"
"Aug 30, 2018","2,737.74","2,769.33","2,780.53","2,736.35","10.61B","-1.14%"
"Aug 29, 2018","2,769.29","2,774.86","2,778.54","2,762.35","10.02B","-0.31%"
"Aug 28, 2018","2,777.98","2,782.29","2,791.39","2,769.40","11.87B","-0.10%"
"Aug 27, 2018","2,780.90","2,736.32","2,780.90","2,736.32","13.28B","1.89%"
"Aug 24, 2018","2,729.43","2,717.08","2,748.82","2,705.32","10.05B","0.18%"
"Aug 23, 2018","2,724.62","2,714.87","2,736.01","2,700.80","9.84B","0.37%"
"Aug 22, 2018","2,714.61","2,731.96","2,731.96","2,709.06","9.37B","-0.70%"
"Aug 21, 2018","2,733.83","2,700.34","2,739.17","2,696.29","11.36B","1.31%"
"Aug 20, 2018","2,698.47","2,673.07","2,698.47","2,653.11","11.08B","1.11%"
"Aug 17, 2018","2,668.97","2,723.89","2,730.33","2,665.59","11.24B","-1.34%"
"Aug 16, 2018","2,705.19","2,691.43","2,732.95","2,672.74","12.03B","-0.66%"
"Aug 15, 2018","2,723.26","2,777.25","2,777.70","2,721.24","11.62B","-2.07%"
"Aug 14, 2018","2,780.96","2,780.74","2,789.44","2,766.57","10.96B","-0.18%"
"Aug 13, 2018","2,785.87","2,769.02","2,789.80","2,742.56","12.75B","-0.34%"
"Aug 10, 2018","2,795.31","2,791.40","2,806.11","2,777.51","12.15B","0.03%"
"Aug 09, 2018","2,794.38","2,729.58","2,801.66","2,726.22","15.17B","1.83%"
"Aug 08, 2018","2,744.07","2,771.13","2,779.91","2,741.07","14.77B","-1.27%"
"Aug 07, 2018","2,779.37","2,711.74","2,779.37","2,696.04","14.96B","2.74%"
"Aug 06, 2018","2,705.16","2,736.53","2,760.47","2,692.32","12.98B","-1.29%"
"Aug 03, 2018","2,740.44","2,763.40","2,777.66","2,740.43","12.70B","-1.00%"
"Aug 02, 2018","2,768.02","2,815.34","2,815.34","2,726.48","17.42B","-2.00%"
"Aug 01, 2018","2,824.53","2,882.51","2,897.40","2,823.93","14.95B","-1.80%"
"Jul 31, 2018","2,876.40","2,866.90","2,884.68","2,854.32","11.89B","0.26%"
"Jul 30, 2018","2,869.05","2,871.94","2,896.01","2,850.30","15.17B","-0.16%"
"Jul 27, 2018","2,873.59","2,879.69","2,889.69","2,864.11","14.64B","-0.30%"
"Jul 26, 2018","2,882.23","2,905.79","2,915.30","2,875.70","16.84B","-0.74%"
"Jul 25, 2018","2,903.65","2,911.45","2,912.31","2,894.04","16.78B","-0.07%"
"Jul 24, 2018","2,905.56","2,862.27","2,911.46","2,862.27","22.96B","1.61%"
"Jul 23, 2018","2,859.54","2,815.20","2,863.57","2,809.62","17.34B","1.07%"
"Jul 20, 2018","2,829.27","2,769.75","2,837.86","2,753.84","14.59B","2.05%"
"Jul 19, 2018","2,772.55","2,791.02","2,805.01","2,764.49","11.45B","-0.53%"
"Jul 18, 2018","2,787.26","2,801.78","2,818.40","2,786.04","12.10B","-0.39%"
"Jul 17, 2018","2,798.13","2,806.89","2,806.92","2,774.76","10.54B","-0.57%"
"Jul 16, 2018","2,814.04","2,827.08","2,837.51","2,804.49","10.78B","-0.61%"
"Jul 13, 2018","2,831.18","2,831.43","2,835.46","2,818.85","11.77B","-0.23%"
"Jul 12, 2018","2,837.66","2,771.04","2,844.19","2,771.04","14.70B","2.16%"
"Jul 11, 2018","2,777.77","2,780.70","2,794.36","2,752.43","12.68B","-1.76%"
"Jul 10, 2018","2,827.63","2,819.71","2,828.49","2,800.63","11.71B","0.44%"
"Jul 09, 2018","2,815.11","2,752.45","2,815.79","2,752.45","12.15B","2.47%"
"Jul 06, 2018","2,747.23","2,731.35","2,768.87","2,691.02","13.63B","0.49%"
"Jul 05, 2018","2,733.88","2,755.34","2,777.52","2,727.94","12.92B","-0.92%"
"Jul 04, 2018","2,759.13","2,776.63","2,793.18","2,754.16","12.33B","-1.00%"
"Jul 03, 2018","2,786.89","2,774.57","2,786.89","2,722.45","14.25B","0.41%"
"Jul 02, 2018","2,775.56","2,841.58","2,845.68","2,756.82","13.70B","-2.52%"
"Jun 29, 2018","2,847.42","2,789.81","2,848.37","2,782.38","12.57B","2.17%"
"Jun 28, 2018","2,786.90","2,799.90","2,825.99","2,782.45","11.84B","-0.93%"
"Jun 27, 2018","2,813.18","2,842.40","2,854.26","2,798.80","12.94B","-1.10%"
"Jun 26, 2018","2,844.51","2,829.99","2,850.24","2,803.79","12.59B","-0.52%"
"Jun 25, 2018","2,859.34","2,903.45","2,908.62","2,857.87","12.19B","-1.05%"
"Jun 22, 2018","2,889.76","2,855.58","2,891.97","2,837.14","12.61B","0.49%"
"Jun 21, 2018","2,875.81","2,912.00","2,940.59","2,872.62","15.44B","-1.37%"
"Jun 20, 2018","2,915.73","2,889.98","2,925.56","2,872.16","14.43B","0.27%"
"Jun 19, 2018","2,907.82","2,982.65","2,984.97","2,871.35","23.05B","-3.78%"
"Jun 15, 2018","3,021.90","3,037.45","3,048.80","3,008.73","14.45B","-0.73%"
"Jun 14, 2018","3,044.16","3,038.07","3,066.05","3,032.41","11.55B","-0.18%"
"Jun 13, 2018","3,049.80","3,071.46","3,071.46","3,044.12","11.96B","-0.97%"
"Jun 12, 2018","3,079.80","3,053.03","3,081.45","3,034.10","11.33B","0.89%"
"Jun 11, 2018","3,052.78","3,057.34","3,063.61","3,037.91","10.86B","-0.47%"
"Jun 08, 2018","3,067.15","3,100.60","3,100.68","3,053.29","13.47B","-1.36%"
"Jun 07, 2018","3,109.50","3,121.18","3,128.72","3,105.58","12.78B","-0.18%"
"Jun 06, 2018","3,115.18","3,109.17","3,117.53","3,103.53","12.02B","0.03%"
"Jun 05, 2018","3,114.21","3,088.01","3,114.77","3,080.05","11.87B","0.74%"
"Jun 04, 2018","3,091.19","3,083.43","3,098.40","3,076.99","11.46B","0.52%"
"Jun 01, 2018","3,075.14","3,084.75","3,102.09","3,059.79","12.99B","-0.66%"
"May 31, 2018","3,095.47","3,061.83","3,098.08","3,054.27","14.05B","1.78%"
"May 30, 2018","3,041.44","3,081.14","3,085.40","3,041.00","15.51B","-2.53%"
"May 29, 2018","3,120.46","3,129.62","3,143.21","3,112.15","13.57B","-0.47%"
"May 28, 2018","3,135.08","3,136.81","3,149.66","3,115.96","12.88B","-0.20%"
"May 25, 2018","3,141.30","3,148.41","3,156.73","3,131.07","12.86B","-0.42%"
"May 24, 2018","3,154.65","3,167.94","3,173.53","3,152.07","12.41B","-0.45%"
"May 23, 2018","3,168.96","3,205.44","3,205.44","3,168.96","15.78B","-1.41%"
"May 22, 2018","3,214.35","3,211.25","3,214.59","3,192.23","14.43B","0.02%"
"May 21, 2018","3,213.84","3,206.18","3,219.74","3,203.34","16.45B","0.64%"
"May 18, 2018","3,193.30","3,151.08","3,193.45","3,144.78","13.65B","1.24%"
"May 17, 2018","3,154.28","3,170.01","3,172.77","3,148.62","11.40B","-0.48%"
"May 16, 2018","3,169.57","3,180.23","3,191.95","3,166.81","13.05B","-0.71%"
"May 15, 2018","3,192.12","3,180.42","3,192.81","3,164.52","12.45B","0.57%"
"May 14, 2018","3,174.03","3,167.04","3,183.82","3,163.48","12.93B","0.34%"
"May 11, 2018","3,163.26","3,179.80","3,180.76","3,162.21","13.07B","-0.35%"
"May 10, 2018","3,174.41","3,169.05","3,176.14","3,155.53","13.30B","0.48%"
"May 09, 2018","3,159.15","3,160.14","3,165.37","3,145.66","12.26B","-0.07%"
"May 08, 2018","3,161.50","3,135.30","3,169.70","3,134.06","14.69B","0.79%"
"May 07, 2018","3,136.64","3,094.90","3,136.84","3,091.66","13.89B","1.48%"
"May 04, 2018","3,091.03","3,093.12","3,104.09","3,086.78","11.87B","-0.32%"
"May 03, 2018","3,100.86","3,074.52","3,105.66","3,056.16","14.00B","0.64%"
"May 02, 2018","3,081.18","3,087.41","3,097.60","3,064.76","13.42B","-0.03%"
"Apr 27, 2018","3,082.23","3,082.41","3,088.03","3,049.91","13.12B","0.23%"
"Apr 26, 2018","3,075.03","3,119.50","3,121.93","3,067.93","13.40B","-1.38%"
"Apr 25, 2018","3,117.97","3,112.40","3,122.91","3,107.00","12.73B","-0.35%"
"Apr 24, 2018","3,128.93","3,069.75","3,136.04","3,069.75","16.23B","1.99%"
"Apr 23, 2018","3,068.01","3,063.44","3,085.06","3,045.94","13.17B","-0.11%"
